step,ball_x,ball_y,paddle1_x,paddle2_x,bot1_action,bot2_action,score_bot1,score_bot2
1,16,14,15,15,right,right,0,0
2,15,13,15,15,stay,stay,0,0
3,14,12,15,15,stay,stay,0,0
4,13,11,16,14,right,left,0,0
5,12,10,15,13,left,left,0,0
6,11,9,14,12,left,left,0,0
7,10,8,13,11,left,left,0,0
8,9,7,12,10,left,left,0,0
9,8,6,11,9,left,left,0,0
10,7,5,10,8,left,left,0,0
11,6,4,9,7,left,left,0,0
12,5,3,8,6,left,left,0,0
13,4,2,7,5,left,left,0,0
14,3,1,6,4,left,left,0,0
15,2,0,5,3,left,left,0,0
16,6,16,13,13,left,left,1,0
17,7,17,12,12,left,left,1,0
18,8,18,11,11,left,left,1,0
19,9,19,10,10,left,left,1,0
20,10,20,9,9,left,left,1,0
21,11,21,9,9,stay,stay,1,0
22,12,22,10,10,right,right,1,0
23,13,23,11,11,right,right,1,0
24,14,24,12,12,right,right,1,0
25,15,25,13,13,right,right,1,0
26,16,26,14,14,right,right,1,0
27,17,27,15,15,right,right,1,0
28,18,28,16,16,right,right,1,0
29,19,29,17,17,right,right,1,0
30,30,14,15,15,right,right,1,1
31,29,13,16,16,right,right,1,1
32,30,12,17,17,right,right,1,1
33,29,11,18,18,right,right,1,1
34,30,10,19,19,right,right,1,1
35,29,9,20,20,right,right,1,1
36,30,8,21,21,right,right,1,1
37,29,7,22,22,right,right,1,1
38,30,6,23,23,right,right,1,1
39,29,5,24,24,right,right,1,1
40,30,4,25,25,right,right,1,1
41,29,3,26,26,right,right,1,1
42,30,2,27,27,right,right,1,1
43,29,1,28,28,right,right,1,1
44,30,0,28,28,stay,stay,1,1
45,24,14,15,15,right,right,2,1
46,23,13,16,16,right,right,2,1
47,22,12,17,17,right,right,2,1
48,21,11,16,18,left,right,2,1
49,20,10,17,19,right,right,2,1
50,19,9,18,19,right,stay,2,1
51,18,8,18,19,stay,stay,2,1
52,17,7,18,18,stay,left,2,1
53,16,6,17,17,left,left,2,1
54,15,5,16,16,left,left,2,1
55,14,4,15,15,left,left,2,1
56,13,3,14,14,left,left,2,1
57,12,2,13,13,left,left,2,1
58,11,1,12,12,left,left,2,1
59,10,0,11,11,left,left,2,1
60,6,14,13,13,left,left,3,1
61,5,13,12,12,left,left,3,1
62,4,12,11,11,left,left,3,1
63,3,11,10,10,left,left,3,1
64,2,10,11,9,right,left,3,1
65,1,9,10,8,left,left,3,1
66,0,8,9,7,left,left,3,1
67,1,7,8,6,left,left,3,1
68,2,6,7,5,left,left,3,1
69,3,5,6,4,left,left,3,1
70,4,4,7,3,right,left,3,1
71,5,3,6,3,left,stay,3,1
72,6,2,5,4,left,right,3,1
73,7,1,5,5,stay,right,3,1
74,8,0,6,6,right,right,3,1
75,7,16,13,13,left,left,4,1
76,8,17,12,12,left,left,4,1
77,9,18,11,11,left,left,4,1
78,10,19,10,10,left,left,4,1
79,11,20,10,10,stay,stay,4,1
80,12,21,10,10,stay,stay,4,1
81,13,22,11,11,right,right,4,1
82,14,23,12,12,right,right,4,1
83,15,24,13,13,right,right,4,1
84,16,25,14,14,right,right,4,1
85,17,26,15,15,right,right,4,1
86,18,27,16,16,right,right,4,1
87,19,28,17,17,right,right,4,1
88,20,29,18,18,right,right,4,1
89,28,14,14,15,stay,right,4,2
90,27,13,15,16,right,right,4,2
91,26,12,16,17,right,right,4,2
92,25,11,17,18,right,right,4,2
93,24,10,18,19,right,right,4,2
94,23,9,19,20,right,right,4,2
95,22,8,20,21,right,right,4,2
96,21,7,21,21,right,stay,4,2
97,20,6,21,21,stay,stay,4,2
98,19,5,20,20,left,left,4,2
99,18,4,19,19,left,left,4,2
100,17,3,18,18,left,left,4,2
101,16,2,17,17,left,left,4,2
102,15,1,16,16,left,left,4,2
103,14,0,15,15,left,left,4,2
